start_date,branch,barcode,name,stock_start,promo_price
2026-08-06,ML2,8858772604337-1,PurrPurr แมวเลีย สำหรับแมวทำหมัน  6g,143.0,8
2026-08-06,ML2,8858772604337,PurrPurr แมวเลีย สำหรับแมวทำหมัน แพ็ค 8 ซอง,20.0,57
2026-08-06,ML2,8858987255379,Bok Bok เนื้อปลา300 g,3.0,180
2026-08-06,ML2,99250213002,กรงพับ 81*50*60cm 890.-,1.0,700
2026-08-06,ML2,9923110601,กระเป๋า Moorper 720.-,3.0,341
2026-08-06,ML2,9920250324001,กระเป๋าเป้ Sandysnow  399.-,3.0,240
2026-08-06,ML2,99240809001,รถเข็น(รุ่นถอดตะกร้า),2.0,910
2026-08-06,ML2,9923111711,TL11 เสื้อผ้าสำลี No.11,11.0,92
2026-08-06,ML2,9923111708,TL8 เสื้อผ้าสำลี No.8,8.0,55
2026-08-06,ML2,9923110117,TN12 เสื้อเฟชั่น 155.-,13.0,126
2026-08-06,ML2,9992025050201,คอนโดแมว 028 (N1),1.0,1100
2026-08-06,ML2,697511,Pet Feeder ที่ให้อาหารอัตโนมัติ ,1.0,612
2026-08-06,ML2,992025091801,กระเป๋าเป้สัตว์เลี้ยงคละสี 399.-,3.0,196
2026-08-06,ML2,393453881216,ที่นอนกระทะ(คละสี),4.0,129
2026-08-06,ML2,4994527726207,ผ้าเปียกผสมแชมพูทำความสะอาด 15 แผ่น (สุนัขใหญ่),4.0,206
2026-08-06,ML2,4994527726306,ผ้าเปียกผสมแชมพูทำความสะอาด 25 แผ่น (สุนัขพันธุ์เล,2.0,206
2026-08-06,ML2,99250109003,เตียงนอนสปริง XL 122*71 990.-,1.0,479
2026-08-06,ML2,9854926004939,Collar ปลอกคอกันเลีย M,7.0,70
2026-08-06,ML2,985492600771,P077 ปลอกคอ+สายจูง 6 หุนเย็บลาย,11.0,53
2026-08-06,ML2,99250505001,DOGGYDOLLY เสื้อเชิ้ต ไซส์ S,4.0,168
2026-08-06,ML2,8858740801157,(1) PRO CAT ปลาทูน่า ,5.0,651
2026-08-06,ML2,8858740801164,(1) PRO CAT แซลมอน ,6.0,651
2026-08-06,ML2,8850289002378,AL AD01 Atlas ทูน่าเนื้อขาวเยลลี่ 70g,50.0,16
2026-08-06,ML2,8850289002408,AL AD02 Atlas ไก่และกุ้งเยลลี่ 70g,53.0,17
2026-08-06,ML2,8850289002460,AL PU03 ไก่เพียวเร่ 15g*4ซอง,10.0,40
2026-08-06,ML2,8850292591531,BEARING CATแชมพูแมว สูตรอ่อนโยน ผิวแพ้ง่าย 350ml.,5.0,91
2026-08-06,ML2,8850292512031,BEARINGแชมพู สูตร2 สำหรับสุนัขขนสั้น 600ml.,7.0,98
2026-08-06,ML2,8850292594471,BR Nature บาล์มน้ำมันกันชง 6g,20.0,118
2026-08-06,ML2,8850292594488,BR Nature เซรัมทาผิว 30ml,10.0,199
2026-08-06,ML2,8850292595478,BEARING Cat สเปรย์หอมดับกลิ่น กลิ่นเบบี้ พาวเดอร์ (สีฟ้า) 600ml.,3.0,179
2026-08-06,ML2,8859104010291,BINGO (20) อ.แมวโต รสปลาทูย่าง 20kg,1.0,851
2026-08-06,ML2,8859104010543,CNJ (3) อ.แมวGrianfree แซลมอนทูน่า 2.5kg,2.0,260
2026-08-06,ML2,8859104006492,CNJ (7) แม่และลูก 7kg,1.0,520
2026-08-06,ML2,8859104005150,DNJ (10) สุนัขโตพันธุ์เล็ก รสเนื้อตับไก่ 10kg แดง,1.0,560
2026-08-06,ML2,8859104005037,DNJ (3) สุนัขโต เนื้อแกะ 3kg ม่วง,3.0,240
2026-08-06,ML2,8859104005099,DNJ (8) ลูกและแม่สุนัข รสไก่นม 8kg ชม,1.0,536
2026-08-06,ML2,8859104010949,GOODBOY (10) อ.แมวโต ปลาทู 10kg,2.0,350
2026-08-06,ML2,8859104010932,GOODBOY (20) อ.สุนัข เนื้อและไก่ 20kg,1.0,535
2026-08-06,ML2,8859104007338,PFT (1) สุนัขโต Skin&Coat 1.5kg.,2.0,325
2026-08-06,ML2,8859104007451,PFT (1) แมวโต Hairball care 1.2kg.,2.0,260
2026-08-06,ML2,8859104006294,PFT (1) แมวโต Indoor 1kg.,3.0,159
2026-08-06,ML2,8859104007437,PFT (1) แมวโต urinary care 1.2kg.,2.0,260
2026-08-06,ML2,8859104001404,(10) BINGO STAR อาหารแมวโต รสปลาทู 10kg,1.0,468
2026-08-06,ML2,5424052514103,BUZZ Natura แมว 7+ รสปลาค็อดและปลาเทราด์ 1kg.,3.0,210
2026-08-06,ML2,8853223060703,MINI ROLY POLY ลับเล็บมินิโยกเยก 350.-,2.0,225
2026-08-06,ML2,745240065180,SP014 ปลอกคอนิรภัย แคทเทส,8.0,96
2026-08-06,ML2,8853527027621,DP13/F ผ้าอ้อม 43*30 ขนาดL,32.0,73
2026-08-06,ML2,8851495001902,CG แชมพูสุนัขเชนการ์ด ลดอาการคัน 350ml เขียว,5.0,80
2026-08-06,ML2,8851495016593,Chaingard แชมพูสุนัขสูตรบอบบาง 500ml,3.0,237
2026-08-06,ML2,8851495005900,Chaingard แป้งโรยตัวสุนัขอาบแห้ง 100ml,13.0,53
2026-08-06,ML2,6921461702002,(1) CheerShare Mother&Baby 1.2kg,4.0,316
2026-08-06,ML2,6921461701494,(1) CheerShare Rice Meat Grain free 1.5kg,2.0,330
2026-08-06,ML2,3330019,CC020 โซ่ล่ามจูง ข้อกลม 4.5mm 250cm,3.0,220
2026-08-06,ML2,3330020,CC020 โซ่ล่ามจูง ข้อตรง 4.5mm 250cm,2.0,200
2026-08-06,ML2,6976551701588,FOFOS อุโมงสปริงผึ้ง 229.-,4.0,133
2026-08-06,ML2,3661103067245,FRONTLINE PLUS เห็บหมัดแมว 8 WEEK,5.0,148
2026-08-06,ML2,3661103066415,FRONTLINE TRI ACT เห็บหมัดยุงแมลงวันสุนัข10-20kg ,6.0,216
2026-08-06,ML2,8852655109001,Terramycin 3.5gm ขี้ผึ้งป้ายตา,11.0,53
2026-08-06,ML2,8859861801392,6L Mypaws ทรายเต้าหู้ กาแฟ 6L,6.0,136
2026-08-06,ML2,8859861800104,6L Mypaws ทรายเต้าหู้ ชาโคล 6L,6.0,136
2026-08-06,ML2,8859861803570,6L Mypaws ทรายเต้าหู้ ซัมเมอร์วินเทอร์ 6L,6.0,152
2026-08-06,ML2,8859861803563,6L Mypaws ทรายเต้าหู้ บับเบิ้ล บริส 6L,5.0,159
2026-08-06,ML2,8859861801064,6L Mypaws ทรายเต้าหู้ ออริจินอล 6L,5.0,142
2026-08-06,ML2,8851111049042,(1) Ginno อ.เม็ด ผสมเนื้อไก่ฟรีซดราย (นง) 1kg ,3.0,190
2026-08-06,ML2,8851111013012,GINNO (H1) รสปลาทูน่าแซลมอนในเยลลี่ 60g.,36.0,16
2026-08-06,ML2,8859696820094,Cat toy MiNi,7.0,222
2026-08-06,ML2,398362,Naturalist แชมพูสุนัขแมว กลิ่นสโนไวท์ 250ml,4.0,154
2026-08-06,ML2,282384,Naturalist แชมพูสุนัขแมว กลิ่นอิงลิช 250ml,4.0,154
2026-08-06,ML2,849932,Naturalist แชมพูสุนัขแมว กลิ่นไนล์ 250ml,4.0,154
2026-08-06,ML2,8851759453997,JH 5M&M สูตรเนื้อไก่ย่างและตับย่าง 500g,3.0,179
2026-08-06,ML2,8857200422727,JOMO อ.สุนัข รสแกะและข้าว 2kg,3.0,236
2026-08-06,ML2,8859739212763,KANIVA (89-1) Fit&Active 1kg.,10.0,107
2026-08-06,ML2,8859739203211,10L KASTY POP Caramel Machiato 10L.,3.0,242
2026-08-06,ML2,8857127204420-1,(1)Katty Boss อ.แมวปลาทู 600g ,18.0,25
2026-08-06,ML2,8859739210578,KANIVA (D1) อ.สุนัข ไก่ ทูน่า ข้าว 12kg,1.0,1342
2026-08-06,ML2,8859739210639,KANIVA (D3) อ.สุนัข แซลมอน ทูน่า ข้าว 11kg,1.0,1303
2026-08-06,ML2,8850477029262,MEO Yummie Bites รสไก่ 10g,54.0,14
2026-08-06,ML2,8850477029279,MEO Yummie Bites ไก่ปลาทูน่ามากุโระ 10g,41.0,14
2026-08-06,ML2,8850477029286,MEO Yummie Bites ไก่และแซลม่อน 10g,41.0,14
2026-08-06,ML2,8850477025332,MEO (2)ทรายชาร์โคล 10L กลิ่นโอเชียล,5.0,202
2026-08-06,ML2,8850477006720,MEO (12) แมว7+ 80g. ปลาทูในเยลลี่,38.0,15
2026-08-06,ML2,8850477034471,MEO (16) 80g.รสปลารสปลาย่าง,44.0,15
2026-08-06,ML2,8850477051508,(0)ME-O เปอร์เซีย 400g.,11.0,54
2026-08-06,ML2,8850477005266,(G3)ME-O GOLD ลูกแมว 2.8kg.,1.0,416
2026-08-06,ML2,8850477007864,MEO-G (GF) Indoor 1.2kg,4.0,241
2026-08-06,ML2,8850477007826,MEO-G (GF) KITTEN 1.2kg,2.0,241
2026-08-06,ML2,8859557804935,Vetericyn Plus VF Otic Solution 30ml ,3.0,141
2026-08-06,ML2,8859079210191,6L OKIKO ทรายเต้าหู้ กลิ่น YUZU ORANGE 6L,5.0,128
2026-08-06,ML2,9310022726507,PDG สุนัขโต Adult รสไก่บด 400g น้ำเงิน,11.0,50
2026-08-06,ML2,8859104008403,Perfecta ซอฟ มีทตี้ รสไก่อบ 1kg,3.0,240
2026-08-06,ML2,8852523005404,JJA43 สันในไก่อบแห้ง 350g,3.0,189
2026-08-06,ML2,805837015209,Kanimal Litter Mat แผ่นดักทรายแมว XL-สีแดง,2.0,263
2026-08-06,ML2,745760629855,PP DENTAL GEL เจลดูแลสุขภาพปากและฟันสุนัข,2.0,246
2026-08-06,ML2,745760629411,Pet Protect Cat สเปรย์ฉีดอเนกประสงค์ สำหรับกระต่าย,4.0,220
2026-08-06,ML2,745760629886,Pet Protect Dental Spray (For Cat) 118 ml.(4 F lOz,3.0,187
2026-08-06,ML2,8857124979154,Petzania สเปรย์ฉีดเท้าป้องกันเชื่อโรค 75ml,7.0,90
2026-08-06,ML2,8859601055726,CVK3 PRAMY อ.เม็ด คานิวอร์ รสแซลม่อน 10kg,1.0,629
2026-08-06,ML2,8859601055566,FS3 Pramy HAIRBALL CARE 1kg,3.0,209
2026-08-06,ML2,8859601057010,FS4 Pramy MINERAL BALNCED 1kg.,3.0,199
2026-08-06,ML2,8857123181275,Cat Still สเปรย์ ฟีโรโมนสเปรย์ 60ml.,3.0,195
2026-08-06,ML2,8857123181343-1,NAMIGO สุนัขกลาง 10-20 kg. M,21.0,29
2026-08-06,ML2,8857123181350-1,NAMIGO สุนัขใหญ่ 20-40 kg. L,23.0,35
2026-08-06,ML2,8857123181367-1,NAMIGO แมว มากกว่า 10 สััปดาห์,21.0,27
2026-08-06,ML2,8857123180223,PRD โฟมอาบน้ำแมว กลิ่นวิคกี้ 110ml.,5.0,122
2026-08-06,ML2,8857123180186,PRD โฟมอาบน้ำแห้ง กลิ่นจาดอร์ 110ml.,4.0,116
2026-08-06,ML2,8850125074002,(0) PURINA ONE HEALTHY ADULT CHICKEN 380g,5.0,80
2026-08-06,ML2,8850125007376,(3) PURINA ONE KITTEN แซลม่อนทูน่า 2.7kg,2.0,620
2026-08-06,ML2,8850125074330,(3) PURINA ONE MATURE ADULT 7+ 1.2 kg,2.0,620
