tax_id,name,category,tel,fax,bank,account,terms
0105567154266,บ.โกลเด้น เพ็ท จำกัด (สำนักงานใหญ่),อื่นๆ,,,,,เครดิต 30 วัน
0355565000162,บ.ไดมอนด์ เพ็ท เซ็นเตอร์ จำกัด,อ.เม็ด สุนัข แมว,061-7919465,,SCB ไทยพาณิชย์,561-266815-5,เครดิต 30 วัน
0105535158665,บ.โฟร์ พี กรุ๊ป (ไทยแลนด์) จำกัด,ของใช้ ของเล่น,,,KBANK กสิกร,799-2-52871-7,เครดิต 30 วัน
0115529000842,บ.ไฮคิวผลิตภัณฑ์อาหาร จำกัด,ทรายแมว,02-7500505,,,,เครดิต 30 วัน
0115558004656,บ.เพ็ท เซอร์เคิล จำกัด,ของใช้ ของเล่น,,,KBANK กสิกร,936-1-01855-6,เครดิต 7 วัน
0415545000263,บ.อุดรเบญจพร จำกัด,ยา นม นมผง,081-9542707,042-211458,KBANK กสิกร,212-3-33126-8,เครดิต 30 วัน
0105549034122,บ.เยี่ยมพาณิชย์ อินเตอร์เนชั่นแนล จำกัด,ของใช้ ของเล่น,,,KBANK กสิกร,799-2-38933-4,เครดิต 30 วัน
0115553003244,บ.พีเคเอส แอนนิมัล เฮลท์,อื่นๆ,02-3228033,02-3228032,,,เครดิต 30 วัน
0105505002136,บ.บีเจซี คอนซูเมอร์ จำกัด,ยา นม นมผง,02-3671477,02-3671000,,,เครดิต 30 วัน
0135558021208,บ.อัลมาซี จำกัด,อ.เปียก ขนม สุนัข แมว,02-9795244,,SCB ไทยพาณิชย์,329-577-6082,เครดิต 7 วัน
0105535103372,บ.เวท เรคคอมเมนด์,อ.เปียก ขนม สุนัข แมว,,,KTB กรุงไทย,000-6-11762-8,เครดิต 30 วัน
0105546038704,บ.คิงสเตลล่า กรุ๊ป จำกัด (สำนักงานใหญ่),ทรายแมว,02-3175487-9,,,,เครดิต 30 วัน
0105547071616,บ.เพ็ท โฟกัส จำกัด,อ.เม็ด สุนัข แมว,02-1461390,,,,คิวอาร์โค้ด
0745542001657,บ.ชอว์ ปิง จำกัด,อื่นๆ,034-496459,034-496460,BBL ธนาคารกรุงเทพ,115-0-82966-9,เครดิต 30 วัน
0105540082353,บ.ออสแทม กู๊ดส์ จำกัด,ของใช้ ของเล่น,02-7494667-72,02-7432057,,,เงินสด
0105558010711,บ.เพ็ทโพรเทคท์ จำกัด,ของใช้ ของเล่น,061-8406111,02-9396366,KBANK กสิกร,113-1-54622-6,เครดิต 60 วัน
0105562162651,บ.เพ็ทโพเทคท์ ฟู๊ด,อ.เม็ด สุนัข แมว,092-2849874,02-9396366,KBANK กสิกร,113-1-53434-1,เครดิต 60 วัน
,บ.ออล์อะเบาท์,อ.เม็ด สุนัข แมว,099-4288828,,,,เงินสด
,บ.แมกซ์ รีเทล,อ.เปียก ขนม สุนัข แมว,080-5654797,,,,เครดิต 30 วัน
,ส.เกษตรภัณฑ์ จ.เลย,ของใช้ ของเล่น,094-6142242,,KBANK กสิกร,038-3-60399-4,เงินสด
0125564019040,บ.พอดี้ อินโนเวชั่น จำกัด,อ.เม็ด สุนัข แมว,02-0963298,,,,เครดิต 30 วัน
