barcode,vendor_id,vendor_name,by,date
8859104500815,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500808,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500822,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500839,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500037,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500174,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500266,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500310,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500341,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500365,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
8859104500846,0105556082030,บริษัท เคเจ. เทรดดิ้ง  (ประเทศไทย) จำกัด,ปิยวรรณ เทียมทัน,2026-08-13
